;BLOCK;CORRECT_ANS;KEY_PRESSED;SPEED;TIME;TRIAL
0;1.0;2.0;TIME_ELAPSED;0.65;0.65;0.0
1;1.0;3.0;TIME_ELAPSED;0.65;0.65;1.0
2;1.0;2.0;k;0.65;0.5858724117279053;2.0
3;1.0;1.0;d;0.65;0.41712212562561035;3.0
4;1.0;0.0;q;0.65;0.4146254062652588;4.0
5;1.0;1.0;d;0.65;0.46913886070251465;5.0
6;1.0;0.0;q;0.65;0.6159436702728271;6.0
7;1.0;1.0;d;0.65;0.45081210136413574;7.0
8;1.0;2.0;k;0.65;0.4851968288421631;8.0
9;1.0;1.0;d;0.65;0.5021414756774902;9.0
0;1.0;0.0;m;0.65;0.2872018814086914;0.0
1;1.0;3.0;m;0.65;0.5421957969665527;1.0
2;1.0;1.0;d;0.65;0.4439706802368164;2.0
3;1.0;3.0;m;0.65;0.505061149597168;3.0
4;1.0;2.0;k;0.65;0.5395097732543945;4.0
5;1.0;1.0;d;0.65;0.3605058193206787;5.0
6;1.0;2.0;k;0.65;0.5301132202148438;6.0
7;1.0;1.0;d;0.65;0.5343592166900635;7.0
8;1.0;3.0;m;0.65;0.4798622131347656;8.0
9;1.0;1.0;d;0.65;0.4288957118988037;9.0
0;2.0;0.0;q;0.65;0.43138623237609863;0.0
1;2.0;3.0;m;0.65;0.36358141899108887;1.0
2;2.0;2.0;k;0.65;0.561267614364624;2.0
3;2.0;1.0;d;0.65;0.5619709491729736;3.0
4;2.0;2.0;q;0.65;0.4324338436126709;4.0
5;2.0;0.0;k;0.65;0.4735283851623535;5.0
6;2.0;3.0;m;0.65;0.5547497272491455;6.0
7;2.0;2.0;k;0.65;0.5227704048156738;7.0
8;2.0;1.0;d;0.65;0.4834609031677246;8.0
9;2.0;0.0;q;0.65;0.42523717880249023;9.0
0;2.0;0.0;q;0.65;0.5784256458282471;0.0
1;2.0;3.0;m;0.65;0.4875369071960449;1.0
2;2.0;2.0;k;0.65;0.45223402976989746;2.0
3;2.0;1.0;d;0.65;0.40557098388671875;3.0
4;2.0;2.0;k;0.65;0.4880330562591553;4.0
5;2.0;0.0;d;0.65;0.5137319564819336;5.0
6;2.0;3.0;m;0.65;0.6445260047912598;6.0
7;2.0;2.0;TIME_ELAPSED;0.65;0.65;7.0
8;2.0;1.0;k;0.65;-0.014650583267211914;8.0
9;2.0;0.0;TIME_ELAPSED;0.65;0.65;9.0
0;3.0;0.0;q;0.65;0.5065615177154541;0.0
1;3.0;3.0;m;0.65;0.4167826175689697;1.0
2;3.0;2.0;m;0.65;0.43280887603759766;2.0
3;3.0;1.0;TIME_ELAPSED;0.65;0.65;3.0
4;3.0;2.0;d;0.65;-0.013964414596557617;4.0
5;3.0;0.0;q;0.65;0.6340892314910889;5.0
6;3.0;3.0;m;0.65;0.5420701503753662;6.0
7;3.0;2.0;k;0.65;0.4927823543548584;7.0
8;3.0;1.0;d;0.65;0.4095165729522705;8.0
9;3.0;0.0;q;0.65;0.4030444622039795;9.0
0;3.0;0.0;q;0.65;0.6165139675140381;0.0
1;3.0;3.0;m;0.65;0.46393465995788574;1.0
2;3.0;2.0;k;0.65;0.4648604393005371;2.0
3;3.0;1.0;d;0.65;0.44189977645874023;3.0
4;3.0;2.0;m;0.65;0.5445206165313721;4.0
5;3.0;0.0;q;0.65;0.6461615562438965;5.0
6;3.0;3.0;m;0.65;0.47905707359313965;6.0
7;3.0;2.0;k;0.65;0.5084741115570068;7.0
8;3.0;1.0;d;0.65;0.4404637813568115;8.0
9;3.0;0.0;q;0.65;0.39644408226013184;9.0
0;4.0;3.0;m;0.65;0.5052478313446045;0.0
1;4.0;1.0;TIME_ELAPSED;0.65;0.65;1.0
2;4.0;3.0;d;0.65;0.11888337135314941;2.0
3;4.0;1.0;TIME_ELAPSED;0.65;0.65;3.0
4;4.0;0.0;d;0.65;0.1530742645263672;4.0
5;4.0;3.0;TIME_ELAPSED;0.65;0.65;5.0
6;4.0;1.0;m;0.65;-0.010968923568725586;6.0
7;4.0;3.0;TIME_ELAPSED;0.65;0.65;7.0
8;4.0;1.0;m;0.65;-0.012674331665039062;8.0
9;4.0;0.0;q;0.65;0.5866105556488037;9.0
0;4.0;0.0;q;0.65;0.6026411056518555;0.0
1;4.0;1.0;k;0.65;0.5931248664855957;1.0
2;4.0;0.0;d;0.65;0.4292945861816406;2.0
3;4.0;2.0;k;0.65;0.4650585651397705;3.0
4;4.0;3.0;q;0.65;0.3944711685180664;4.0
5;4.0;1.0;m;0.65;0.43518781661987305;5.0
6;4.0;0.0;d;0.65;0.35930466651916504;6.0
7;4.0;1.0;d;0.65;0.4186110496520996;7.0
8;4.0;3.0;m;0.65;0.42446208000183105;8.0
9;4.0;0.0;q;0.65;0.3408687114715576;9.0
0;5.0;0.0;q;0.65;0.4399564266204834;0.0
1;5.0;3.0;m;0.65;0.4098846912384033;1.0
2;5.0;2.0;k;0.65;0.5187556743621826;2.0
3;5.0;1.0;d;0.65;0.3122990131378174;3.0
4;5.0;2.0;m;0.65;0.36916041374206543;4.0
5;5.0;0.0;k;0.65;0.4342484474182129;5.0
6;5.0;3.0;q;0.65;0.17840027809143066;6.0
7;5.0;2.0;k;0.65;0.44464802742004395;7.0
8;5.0;1.0;d;0.65;0.42340993881225586;8.0
9;5.0;0.0;q;0.65;0.3970158100128174;9.0
0;5.0;0.0;q;0.65;0.5956971645355225;0.0
1;5.0;3.0;m;0.65;0.5181534290313721;1.0
2;5.0;2.0;k;0.65;0.4604794979095459;2.0
3;5.0;1.0;d;0.65;0.33020782470703125;3.0
4;5.0;2.0;k;0.65;0.5797724723815918;4.0
5;5.0;0.0;q;0.65;0.6181745529174805;5.0
6;5.0;3.0;k;0.65;0.3381021022796631;6.0
7;5.0;2.0;k;0.65;0.4580378532409668;7.0
8;5.0;1.0;q;0.65;0.4120500087738037;8.0
9;5.0;0.0;d;0.65;0.3248465061187744;9.0
0;6.0;0.0;q;0.65;0.4520862102508545;0.0
1;6.0;3.0;m;0.65;0.3668966293334961;1.0
2;6.0;2.0;d;0.65;0.34599757194519043;2.0
3;6.0;1.0;k;0.65;0.3190610408782959;3.0
4;6.0;2.0;k;0.65;0.4749934673309326;4.0
5;6.0;0.0;q;0.65;0.4670450687408447;5.0
6;6.0;3.0;TIME_ELAPSED;0.65;0.65;6.0
7;6.0;2.0;m;0.65;0.19112586975097656;7.0
8;6.0;1.0;d;0.65;0.5195379257202148;8.0
9;6.0;0.0;q;0.65;0.4586217403411865;9.0
0;6.0;0.0;TIME_ELAPSED;0.65;0.65;0.0
1;6.0;3.0;q;0.65;0.1257457733154297;1.0
2;6.0;2.0;m;0.65;0.4129478931427002;2.0
3;6.0;1.0;d;0.65;0.29311108589172363;3.0
4;6.0;2.0;k;0.65;0.3146650791168213;4.0
5;6.0;0.0;q;0.65;0.5751597881317139;5.0
6;6.0;3.0;m;0.65;0.4631931781768799;6.0
7;6.0;2.0;k;0.65;0.4530143737792969;7.0
8;6.0;1.0;d;0.65;0.40452122688293457;8.0
9;6.0;0.0;q;0.65;0.40313148498535156;9.0
