;BLOCK;CORRECT_ANS;KEY_PRESSED;SPEED;TIME;TRIAL
0;1.0;2.0;TIME_ELAPSED;0.95;0.95;0.0
1;1.0;1.0;d;0.95;0.5946664810180664;1.0
2;1.0;2.0;q;0.95;0.5033957958221436;2.0
3;1.0;0.0;m;0.95;0.10892152786254883;3.0
4;1.0;1.0;d;0.95;0.5978121757507324;4.0
5;1.0;0.0;q;0.95;0.5323741436004639;5.0
6;1.0;1.0;d;0.95;0.5358173847198486;6.0
7;1.0;3.0;m;0.95;0.5894737243652344;7.0
8;1.0;1.0;d;0.95;0.4437141418457031;8.0
9;1.0;3.0;m;0.95;0.45276761054992676;9.0
0;1.0;1.0;d;0.95;0.45913004875183105;0.0
1;1.0;0.0;q;0.95;0.49236440658569336;1.0
2;1.0;3.0;m;0.95;0.5330126285552979;2.0
3;1.0;1.0;d;0.95;0.4227137565612793;3.0
4;1.0;2.0;q;0.95;0.42514467239379883;4.0
5;1.0;0.0;k;0.95;0.11587214469909668;5.0
6;1.0;2.0;k;0.95;0.6217584609985352;6.0
7;1.0;1.0;d;0.95;0.7665624618530273;7.0
8;1.0;3.0;m;0.95;0.6300818920135498;8.0
9;1.0;1.0;d;0.95;0.6932201385498047;9.0
0;2.0;0.0;q;0.95;0.4841175079345703;0.0
1;2.0;3.0;m;0.95;0.4881758689880371;1.0
2;2.0;2.0;k;0.95;0.49321579933166504;2.0
3;2.0;1.0;d;0.95;0.37335753440856934;3.0
4;2.0;2.0;k;0.95;0.5773577690124512;4.0
5;2.0;0.0;q;0.95;0.550137996673584;5.0
6;2.0;3.0;m;0.95;0.4790620803833008;6.0
7;2.0;2.0;k;0.95;0.4673471450805664;7.0
8;2.0;1.0;d;0.95;0.46593546867370605;8.0
9;2.0;0.0;q;0.95;0.4511392116546631;9.0
0;2.0;0.0;q;0.95;0.48972392082214355;0.0
1;2.0;3.0;m;0.95;0.4982609748840332;1.0
2;2.0;2.0;k;0.95;0.4408566951751709;2.0
3;2.0;1.0;d;0.95;0.3660156726837158;3.0
4;2.0;2.0;q;0.95;0.4171569347381592;4.0
5;2.0;0.0;q;0.95;0.7707407474517822;5.0
6;2.0;3.0;m;0.95;0.4293389320373535;6.0
7;2.0;2.0;k;0.95;0.4008760452270508;7.0
8;2.0;1.0;d;0.95;0.4132401943206787;8.0
9;2.0;0.0;q;0.95;0.4248678684234619;9.0
0;3.0;0.0;q;0.95;0.47806382179260254;0.0
1;3.0;3.0;m;0.95;0.5102231502532959;1.0
2;3.0;2.0;m;0.95;0.4363975524902344;2.0
3;3.0;1.0;d;0.95;0.6059927940368652;3.0
4;3.0;2.0;q;0.95;0.48149871826171875;4.0
5;3.0;0.0;q;0.95;0.765160322189331;5.0
6;3.0;3.0;TIME_ELAPSED;0.95;0.95;6.0
7;3.0;2.0;m;0.95;0.21230220794677734;7.0
8;3.0;1.0;d;0.95;0.6861042976379395;8.0
9;3.0;0.0;q;0.95;0.6049566268920898;9.0
0;3.0;0.0;q;0.95;0.5420706272125244;0.0
1;3.0;3.0;m;0.95;0.4543123245239258;1.0
2;3.0;2.0;k;0.95;0.40015387535095215;2.0
3;3.0;1.0;d;0.95;0.32744312286376953;3.0
4;3.0;2.0;q;0.95;0.38877129554748535;4.0
5;3.0;0.0;m;0.95;0.3378925323486328;5.0
6;3.0;3.0;k;0.95;0.47135472297668457;6.0
7;3.0;2.0;k;0.95;0.5849618911743164;7.0
8;3.0;1.0;d;0.95;0.5737347602844238;8.0
9;3.0;0.0;q;0.95;0.46033692359924316;9.0
0;4.0;1.0;d;0.95;0.5806624889373779;0.0
1;4.0;2.0;m;0.95;0.5768334865570068;1.0
2;4.0;0.0;TIME_ELAPSED;0.95;0.95;2.0
3;4.0;2.0;q;0.95;0.12566375732421875;3.0
4;4.0;0.0;q;0.95;0.7469046115875244;4.0
5;4.0;3.0;m;0.95;0.5395913124084473;5.0
6;4.0;0.0;q;0.95;0.6187727451324463;6.0
7;4.0;3.0;m;0.95;0.6278913021087646;7.0
8;4.0;1.0;d;0.95;0.9413468837738037;8.0
9;4.0;3.0;TIME_ELAPSED;0.95;0.95;9.0
0;4.0;2.0;k;0.95;0.397019624710083;0.0
1;4.0;1.0;d;0.95;0.44390010833740234;1.0
2;4.0;2.0;m;0.95;0.6050186157226562;2.0
3;4.0;0.0;k;0.95;0.452103853225708;3.0
4;4.0;2.0;k;0.95;0.815697193145752;4.0
5;4.0;0.0;d;0.95;0.2723879814147949;5.0
6;4.0;2.0;q;0.95;0.5082995891571045;6.0
7;4.0;3.0;m;0.95;0.49495792388916016;7.0
8;4.0;2.0;k;0.95;0.6168782711029053;8.0
9;4.0;1.0;d;0.95;0.7000553607940674;9.0
0;5.0;0.0;q;0.95;0.5038149356842041;0.0
1;5.0;3.0;m;0.95;0.4248838424682617;1.0
2;5.0;2.0;k;0.95;0.4322624206542969;2.0
3;5.0;1.0;d;0.95;0.40995335578918457;3.0
4;5.0;2.0;m;0.95;0.6515762805938721;4.0
5;5.0;0.0;k;0.95;0.2802462577819824;5.0
6;5.0;3.0;q;0.95;0.35625386238098145;6.0
7;5.0;2.0;m;0.95;0.37262678146362305;7.0
8;5.0;1.0;k;0.95;0.39096784591674805;8.0
9;5.0;0.0;q;0.95;0.6160147190093994;9.0
0;5.0;0.0;q;0.95;0.6257848739624023;0.0
1;5.0;3.0;m;0.95;0.481365442276001;1.0
2;5.0;2.0;k;0.95;0.3903658390045166;2.0
3;5.0;1.0;d;0.95;0.3757755756378174;3.0
4;5.0;2.0;m;0.95;0.6481485366821289;4.0
5;5.0;0.0;TIME_ELAPSED;0.95;0.95;5.0
6;5.0;3.0;q;0.95;-0.02768564224243164;6.0
7;5.0;2.0;TIME_ELAPSED;0.95;0.95;7.0
8;5.0;1.0;q;0.95;0.7504162788391113;8.0
9;5.0;0.0;d;0.95;0.18565869331359863;9.0
0;6.0;0.0;q;0.95;0.5509586334228516;0.0
1;6.0;3.0;m;0.95;0.45056772232055664;1.0
2;6.0;2.0;k;0.95;0.5008695125579834;2.0
3;6.0;1.0;d;0.95;0.35875439643859863;3.0
4;6.0;2.0;q;0.95;0.3961021900177002;4.0
5;6.0;0.0;m;0.95;0.4499242305755615;5.0
6;6.0;3.0;m;0.95;0.5281615257263184;6.0
7;6.0;2.0;k;0.95;0.31505870819091797;7.0
8;6.0;1.0;d;0.95;0.33559441566467285;8.0
9;6.0;0.0;q;0.95;0.42315101623535156;9.0
0;6.0;0.0;q;0.95;0.44991087913513184;0.0
1;6.0;3.0;m;0.95;0.4831557273864746;1.0
2;6.0;2.0;k;0.95;0.4089362621307373;2.0
3;6.0;1.0;d;0.95;0.3375391960144043;3.0
4;6.0;2.0;q;0.95;0.37720727920532227;4.0
5;6.0;0.0;m;0.95;0.4015171527862549;5.0
6;6.0;3.0;m;0.95;0.4424407482147217;6.0
7;6.0;2.0;k;0.95;0.22888994216918945;7.0
8;6.0;1.0;d;0.95;0.1600801944732666;8.0
9;6.0;0.0;q;0.95;0.4195287227630615;9.0
