;BLOCK;CORRECT_ANS;KEY_PRESSED;SPEED;TIME;TRIAL
0;1.0;1.0;TIME_ELAPSED;0.65;0.65;0.0
1;1.0;3.0;d;0.65;-0.017136096954345703;1.0
2;1.0;0.0;m;0.65;0.31786608695983887;2.0
3;1.0;1.0;q;0.65;0.2928738594055176;3.0
4;1.0;3.0;d;0.65;0.4098985195159912;4.0
5;1.0;2.0;TIME_ELAPSED;0.65;0.65;5.0
6;1.0;0.0;k;0.65;-0.01859760284423828;6.0
7;1.0;3.0;d;0.65;0.31119799613952637;7.0
8;1.0;0.0;q;0.65;0.3155534267425537;8.0
9;1.0;1.0;d;0.65;0.5183558464050293;9.0
0;1.0;0.0;m;0.65;0.25594329833984375;0.0
1;1.0;1.0;q;0.65;0.356766939163208;1.0
2;1.0;0.0;d;0.65;0.44725966453552246;2.0
3;1.0;2.0;k;0.65;0.629002571105957;3.0
4;1.0;0.0;q;0.65;0.5229771137237549;4.0
5;1.0;1.0;d;0.65;0.5371122360229492;5.0
6;1.0;3.0;m;0.65;0.4878420829772949;6.0
7;1.0;1.0;d;0.65;0.4188718795776367;7.0
8;1.0;0.0;q;0.65;0.4657924175262451;8.0
9;1.0;3.0;TIME_ELAPSED;0.65;0.65;9.0
0;2.0;0.0;q;0.65;0.5501627922058105;0.0
1;2.0;3.0;k;0.65;0.418581485748291;1.0
2;2.0;2.0;m;0.65;0.17853355407714844;2.0
3;2.0;1.0;d;0.65;0.2065877914428711;3.0
4;2.0;2.0;m;0.65;0.49539709091186523;4.0
5;2.0;0.0;q;0.65;0.4151294231414795;5.0
6;2.0;3.0;m;0.65;0.619924783706665;6.0
7;2.0;2.0;d;0.65;0.4095475673675537;7.0
8;2.0;1.0;k;0.65;0.3363320827484131;8.0
9;2.0;0.0;q;0.65;0.3901247978210449;9.0
0;2.0;0.0;TIME_ELAPSED;0.65;0.65;0.0
1;2.0;3.0;q;0.65;0.14989352226257324;1.0
2;2.0;2.0;k;0.65;0.5708146095275879;2.0
3;2.0;1.0;d;0.65;0.5449585914611816;3.0
4;2.0;2.0;m;0.65;0.4818882942199707;4.0
5;2.0;0.0;k;0.65;0.18262267112731934;5.0
6;2.0;3.0;TIME_ELAPSED;0.65;0.65;6.0
7;2.0;2.0;m;0.65;-0.02092432975769043;7.0
8;2.0;1.0;d;0.65;0.5646142959594727;8.0
9;2.0;0.0;d;0.65;0.45578742027282715;9.0
0;3.0;0.0;q;0.65;0.40800905227661133;0.0
1;3.0;3.0;m;0.65;0.39571666717529297;1.0
2;3.0;2.0;k;0.65;0.39923739433288574;2.0
3;3.0;1.0;d;0.65;0.2913987636566162;3.0
4;3.0;2.0;q;0.65;0.3144550323486328;4.0
5;3.0;0.0;m;0.65;0.29400134086608887;5.0
6;3.0;3.0;TIME_ELAPSED;0.65;0.65;6.0
7;3.0;2.0;k;0.65;-0.02013397216796875;7.0
8;3.0;1.0;TIME_ELAPSED;0.65;0.65;8.0
9;3.0;0.0;d;0.65;-0.019076108932495117;9.0
0;3.0;0.0;q;0.65;0.48200440406799316;0.0
1;3.0;3.0;m;0.65;0.5610756874084473;1.0
2;3.0;2.0;k;0.65;0.17561101913452148;2.0
3;3.0;1.0;d;0.65;0.07434630393981934;3.0
4;3.0;2.0;k;0.65;0.6394760608673096;4.0
5;3.0;0.0;d;0.65;0.13104510307312012;5.0
6;3.0;3.0;TIME_ELAPSED;0.65;0.65;6.0
7;3.0;2.0;k;0.65;-0.018761873245239258;7.0
