;BLOCK;CORRECT_ANS;KEY_PRESSED;SPEED;TIME;TRIAL
5;5.0;0.0;m;0.95;0.3480103015899658;5.0
6;5.0;3.0;q;0.95;0.12990975379943848;6.0
7;5.0;2.0;m;0.95;0.39518022537231445;7.0
8;5.0;1.0;k;0.95;0.23566961288452148;8.0
9;5.0;0.0;d;0.95;0.2457599639892578;9.0
0;6.0;0.0;q;0.95;0.4717240333557129;0.0
1;6.0;3.0;m;0.95;0.3418140411376953;1.0
2;6.0;2.0;k;0.95;0.40586161613464355;2.0
3;6.0;1.0;d;0.95;0.2283344268798828;3.0
4;6.0;2.0;q;0.95;0.4014277458190918;4.0
5;6.0;0.0;m;0.95;0.23979830741882324;5.0
6;6.0;3.0;d;0.95;0.3409852981567383;6.0
7;6.0;2.0;k;0.95;0.23548245429992676;7.0
8;6.0;1.0;q;0.95;0.26812291145324707;8.0
9;6.0;0.0;m;0.95;0.25786352157592773;9.0
0;6.0;0.0;d;0.95;0.12390923500061035;0.0
1;6.0;3.0;k;0.95;0.3313145637512207;1.0
2;6.0;2.0;q;0.95;0.5491909980773926;2.0
3;6.0;1.0;k;0.95;0.5360095500946045;3.0
4;6.0;2.0;q;0.95;0.25745344161987305;4.0
5;6.0;0.0;k;0.95;0.21799087524414062;5.0
6;6.0;3.0;q;0.95;0.1719210147857666;6.0
7;6.0;2.0;k;0.95;0.3574042320251465;7.0
8;6.0;1.0;q;0.95;0.19999003410339355;8.0
9;6.0;0.0;k;0.95;0.36196184158325195;9.0
